X,Y,Z,formation,series,formation number
613832.8672080094,2474309.3959304607,357.0,Unit1,Default series,1
613823.071817032,2474424.19580996,349.0,Unit1,Default series,1
613760.7029974223,2474514.9520816933,342.0,Unit1,Default series,1
613766.8554839129,2474580.804985855,341.0,Unit1,Default series,1
613815.3762014842,2474732.3356262674,342.0,Unit1,Default series,1
613686.798723766,2474793.6824503904,338.0,Unit1,Default series,1
613625.4374414341,2474912.056358541,343.0,Unit1,Default series,1
613681.8146426583,2475027.9374210415,348.0,Unit1,Default series,1
613664.9686160964,2475179.062296636,340.0,Unit1,Default series,1
613656.3483930863,2475259.9867897616,340.0,Unit1,Default series,1
613656.2375098182,2475276.488615797,340.0,Unit1,Default series,1
613657.9449670757,2475379.992041424,339.0,Unit1,Default series,1
613715.5070910829,2475578.317572982,343.0,Unit1,Default series,1
613786.2665903509,2475678.6415862185,358.0,Unit1,Default series,1
613828.7830039032,2475775.668601257,343.0,Unit1,Default series,1
613904.9186918321,2475839.4806036986,348.0,Unit1,Default series,1
613940.2454764801,2475961.628041205,345.0,Unit1,Default series,1
614093.0597890586,2476128.184815909,350.0,Unit1,Default series,1
614144.4764542097,2476219.4714419455,348.0,Unit1,Default series,1
614171.8324798492,2476322.194238634,349.0,Unit1,Default series,1
614199.4139862907,2476442.6665763683,360.0,Unit1,Default series,1
614269.5088777994,2476535.4474387113,344.0,Unit1,Default series,1
614341.6368417151,2476619.09114453,363.0,Unit1,Default series,1
614377.8141641759,2476720.4596177307,357.0,Unit1,Default series,1
614458.6523440517,2476787.1040523057,353.0,Unit1,Default series,1
614491.5466446589,2476873.5424831887,351.0,Unit1,Default series,1
614583.0294030237,2477028.9725976787,363.0,Unit1,Default series,1
614649.6555031074,2477074.9294523685,366.0,Unit1,Default series,1
614645.5725018384,2477179.660669529,350.0,Unit1,Default series,1
614645.3435197509,2477270.7299661245,365.0,Unit1,Default series,1
614676.1820268687,2477413.9642988783,361.0,Unit1,Default series,1
614733.6791805357,2477464.393527408,377.0,Unit1,Default series,1
614831.3213400722,2477541.3353448226,400.0,Unit1,Default series,1
614895.3131525108,2477576.9647109983,393.0,Unit1,Default series,1
614926.1415488116,2477668.472326177,364.0,Unit1,Default series,1
614966.9444106506,2477802.5382273667,361.0,Unit1,Default series,1
614910.799881127,2477876.9493365483,362.0,Unit1,Default series,1
614939.0232760841,2477976.2976341713,360.0,Unit1,Default series,1
614985.5020413933,2478080.9778247587,358.0,Unit1,Default series,1
615068.9162098939,2478121.946850857,375.0,Unit1,Default series,1
615191.4299677708,2478258.8088374375,364.0,Unit1,Default series,1
615230.2312354674,2478373.410888646,369.0,Unit1,Default series,1
615297.3522241078,2478437.5855834456,355.0,Unit1,Default series,1
615326.6410078227,2478536.7400905066,360.0,Unit1,Default series,1
615420.652556492,2478582.2142912117,372.0,Unit1,Default series,1
615510.6518004057,2478584.9443680616,360.0,Unit1,Default series,1
615626.6078517842,2478621.6541458867,359.0,Unit1,Default series,1
615785.4360952688,2478615.9104809053,364.0,Unit1,Default series,1
615948.6509915683,2478690.9762137993,421.0,Unit1,Default series,1
615982.7078031406,2478795.0177590004,382.0,Unit1,Default series,1
616089.2388821761,2478848.6182709327,367.0,Unit1,Default series,1
616191.7708661509,2478881.736693591,394.0,Unit1,Default series,1
616333.0874977905,2478821.925601657,429.0,Unit1,Default series,1
616335.6620940758,2478977.8508922146,381.0,Unit1,Default series,1
616452.6740365875,2478943.7881467654,395.0,Unit1,Default series,1
616541.0825900382,2478989.2763055316,409.0,Unit1,Default series,1
616666.2423326339,2479013.4457788407,385.0,Unit1,Default series,1
616747.5402213943,2479094.4799887156,367.0,Unit1,Default series,1
616850.4549115162,2479109.7783868513,396.0,Unit1,Default series,1
616933.9999220063,2479167.4458011887,381.0,Unit1,Default series,1
617037.9028234095,2479177.9703040775,386.0,Unit1,Default series,1
617168.7251955487,2479228.4745958005,366.0,Unit1,Default series,1
617351.6760035085,2479184.219806118,421.0,Unit1,Default series,1
617475.83076254,2479217.580123113,403.0,Unit1,Default series,1
617610.1307108063,2479184.640578994,453.0,Unit1,Default series,1
617657.9175324631,2479248.3529313453,426.0,Unit1,Default series,1
617800.4724524863,2479191.226269049,463.0,Unit1,Default series,1
617991.5277423689,2479247.8591615283,380.0,Unit1,Default series,1
618120.5175039149,2479070.25216812,401.0,Unit1,Default series,1
618335.5996758186,2478964.478312115,367.0,Unit1,Default series,1
618357.2566362156,2478812.162893081,416.0,Unit1,Default series,1
618546.30727221,2478831.72699938,377.0,Unit1,Default series,1
618715.6477826812,2478933.147502233,358.0,Unit1,Default series,1
619374.4202354728,2479153.1322840387,344.0,Unit1,Default series,1
619540.3389471197,2479162.9779881113,400.0,Unit1,Default series,1
619685.855307533,2478891.940121013,517.0,Unit1,Default series,1
619729.2979919768,2478920.8678250085,477.0,Unit1,Default series,1
619744.2424482268,2478862.632601711,506.0,Unit1,Default series,1
619885.4781882158,2478790.7611005395,454.0,Unit1,Default series,1
619909.7047729188,2478731.60075439,456.0,Unit1,Default series,1
620124.9176057018,2478623.6207565907,399.0,Unit1,Default series,1
620133.0179357044,2478472.8152879463,450.0,Unit1,Default series,1
620186.8618219953,2478421.169083102,450.0,Unit1,Default series,1
620204.8456540176,2478281.9580623168,496.0,Unit1,Default series,1
620206.3360162147,2478274.071181476,496.0,Unit1,Default series,1
620435.8335798277,2478130.6808120073,410.0,Unit1,Default series,1
620474.0999057144,2477987.6128115426,447.0,Unit1,Default series,1
620578.1730534056,2477923.008621848,415.0,Unit1,Default series,1
620592.6344567908,2477742.5083811316,466.0,Unit1,Default series,1
620831.1109745296,2477609.3393312586,374.0,Unit1,Default series,1
620805.2394604798,2477444.0656744926,432.0,Unit1,Default series,1
620912.8671598529,2477348.997995834,395.0,Unit1,Default series,1
620871.1248325077,2477271.119106131,438.0,Unit1,Default series,1
620847.0818572013,2477105.0335545116,468.0,Unit1,Default series,1
621070.5964945277,2476881.345902219,369.0,Unit1,Default series,1
621021.8220517483,2476831.997884175,381.0,Unit1,Default series,1
621015.2660444074,2476740.5035623545,386.0,Unit1,Default series,1
621059.0812806421,2476686.834342798,375.0,Unit1,Default series,1
620956.2913736692,2476568.374076627,433.0,Unit1,Default series,1
621027.2553045904,2476475.330277451,399.0,Unit1,Default series,1
620972.2492354843,2476390.0132036097,428.0,Unit1,Default series,1
621007.3268776117,2476055.2016245746,347.0,Unit1,Default series,1
620824.5128174617,2476054.1380373263,355.0,Unit1,Default series,1
620633.3128965785,2476137.4497087207,354.0,Unit1,Default series,1
620416.139735341,2476101.245579548,354.0,Unit1,Default series,1
620357.9290066707,2475867.759048773,351.0,Unit1,Default series,1
620290.9790795154,2475682.451018017,341.0,Unit1,Default series,1
620199.7172223284,2475636.897012877,367.0,Unit1,Default series,1
620167.0771953355,2475594.615828215,359.0,Unit1,Default series,1
620133.1331797591,2475552.8504943093,353.0,Unit1,Default series,1
620099.9135387038,2475568.6636140016,349.0,Unit1,Default series,1
620029.7174757123,2475545.622644343,347.0,Unit1,Default series,1
619966.7192266692,2475533.5513517736,344.0,Unit1,Default series,1
619870.4837154449,2475531.600953105,348.0,Unit1,Default series,1
619795.2464654349,2475510.7769715735,349.0,Unit1,Default series,1
619785.1574276155,2475421.2277084785,370.0,Unit1,Default series,1
619762.7560396891,2475359.6603065166,364.0,Unit1,Default series,1
619762.4912224263,2475352.167438012,364.0,Unit1,Default series,1
619763.3663873483,2475344.663862557,364.0,Unit1,Default series,1
619763.2650786273,2475295.376361954,356.0,Unit1,Default series,1
619764.2625684117,2475292.6685356926,356.0,Unit1,Default series,1
619780.5424680604,2475238.5503559085,344.0,Unit1,Default series,1
619774.1635720233,2475199.7602599165,340.0,Unit1,Default series,1
619553.7166990296,2475172.2010559733,344.0,Unit1,Default series,1
619465.5774377123,2475112.5567281046,366.0,Unit1,Default series,1
619427.7932098813,2474972.512736619,353.0,Unit1,Default series,1
619347.1327534808,2474929.425357198,348.0,Unit1,Default series,1
619245.3659595549,2474846.6486767624,343.0,Unit1,Default series,1
619133.8535094428,2474765.1790575692,331.0,Unit1,Default series,1
619036.7998552126,2474691.1860175654,338.0,Unit1,Default series,1
619035.8746280383,2474686.9843858965,338.0,Unit1,Default series,1
618986.6831516151,2474613.1928914483,332.0,Unit1,Default series,1
618986.2603350591,2474611.1788597186,332.0,Unit1,Default series,1
618921.1141836212,2474577.8861439154,337.0,Unit1,Default series,1
618829.7589164459,2474566.5436158283,334.0,Unit1,Default series,1
618702.9017674798,2474559.2982732854,329.0,Unit1,Default series,1
618618.3913402106,2474461.196634808,334.0,Unit1,Default series,1
618637.3307928524,2474333.990008797,324.0,Unit1,Default series,1
618435.5398520142,2474282.605868856,343.0,Unit1,Default series,1
618428.7064599878,2474281.9643923207,346.0,Unit1,Default series,1
618375.6187477859,2474278.579736854,342.0,Unit1,Default series,1
618375.6026401977,2474281.699246419,342.0,Unit1,Default series,1
618327.9816809468,2474382.3415821255,338.0,Unit1,Default series,1
618235.1321745139,2474402.2425885564,356.0,Unit1,Default series,1
618172.9393656186,2474334.1551510864,351.0,Unit1,Default series,1
618143.7320256839,2474224.734220995,327.0,Unit1,Default series,1
618137.902626097,2474215.3096645037,327.0,Unit1,Default series,1
618133.8682824118,2474205.8116848585,328.0,Unit1,Default series,1
618060.0319419135,2474144.672930987,332.0,Unit1,Default series,1
618055.0933131053,2474137.9414844294,332.0,Unit1,Default series,1
617947.2832534288,2474182.257460106,340.0,Unit1,Default series,1
617871.302617365,2474117.0943547613,332.0,Unit1,Default series,1
617776.0171872566,2474149.2587751127,346.0,Unit1,Default series,1
617754.5810274974,2474013.237374475,332.0,Unit1,Default series,1
617628.0923271014,2473994.443416405,346.0,Unit1,Default series,1
617624.9521174635,2473994.7296961704,346.0,Unit1,Default series,1
617563.6947112457,2473999.12957618,352.0,Unit1,Default series,1
617485.7173514918,2473901.3682849896,333.0,Unit1,Default series,1
617409.6804401727,2473803.5915456815,331.0,Unit1,Default series,1
617204.0737768562,2473759.3364695096,346.0,Unit1,Default series,1
617168.754113646,2473847.4655716713,338.0,Unit1,Default series,1
617078.5186913845,2473801.590685073,342.0,Unit1,Default series,1
617001.7593137223,2473696.7075441624,338.0,Unit1,Default series,1
616857.0953697368,2473627.077933662,327.0,Unit1,Default series,1
616709.4270040776,2473605.9536726167,332.0,Unit1,Default series,1
616704.0860430824,2473605.2578203524,332.0,Unit1,Default series,1
616572.0656259058,2473590.6870606537,327.0,Unit1,Default series,1
616567.5659783985,2473585.058567295,327.0,Unit1,Default series,1
616513.0663432722,2473559.4144106,327.0,Unit1,Default series,1
616507.6186498939,2473556.4532364914,327.0,Unit1,Default series,1
616500.6430690576,2473553.9362622034,327.0,Unit1,Default series,1
616485.5969020003,2473551.47791172,327.0,Unit1,Default series,1
616376.5062219478,2473567.122752291,346.0,Unit1,Default series,1
616341.282811633,2473598.7468328136,344.0,Unit1,Default series,1
616339.2045640155,2473595.00153706,344.0,Unit1,Default series,1
616260.4904512288,2473509.8602609155,340.0,Unit1,Default series,1
616120.6502441291,2473504.7064278224,328.0,Unit1,Default series,1
616034.1033638869,2473543.1810793476,325.0,Unit1,Default series,1
615929.7163427741,2473628.887399656,364.0,Unit1,Default series,1
615763.8654485482,2473572.7901258413,347.0,Unit1,Default series,1
615582.5712134665,2473408.0579211577,325.0,Unit1,Default series,1
615456.9734467461,2473337.8137049945,331.0,Unit1,Default series,1
615436.3194234864,2473483.846168206,361.0,Unit1,Default series,1
615201.8190121836,2473418.7682842677,356.0,Unit1,Default series,1
614897.7367630106,2473403.7623175173,352.0,Unit1,Default series,1
614791.2033581466,2473533.7378009004,355.0,Unit1,Default series,1
614862.5086343456,2473678.0855601495,352.0,Unit1,Default series,1
614774.8693881596,2473823.0290325154,356.0,Unit1,Default series,1
614652.8885884902,2473987.6130195064,364.0,Unit1,Default series,1
614495.7419152457,2473962.8420601944,346.0,Unit1,Default series,1
614359.3055098776,2474033.80522386,363.0,Unit1,Default series,1
614334.2241452662,2474091.3056510994,373.0,Unit1,Default series,1
614257.7221483086,2474131.9767476176,351.0,Unit1,Default series,1
614191.0460659302,2474213.8878230024,350.0,Unit1,Default series,1
614322.15589726,2474326.3130255435,355.0,Unit1,Default series,1
614084.175830286,2474351.3877270916,350.0,Unit1,Default series,1
613930.4683246105,2474270.465723183,348.0,Unit1,Default series,1
613832.1424127334,2474298.1815386564,351.0,Unit1,Default series,1
616903.0359995613,2474389.0275600883,346.0,Unit2,Default series,2
616947.1973890348,2474468.680512848,367.0,Unit2,Default series,2
617011.1823215485,2474499.1538945697,360.0,Unit2,Default series,2
617099.7941634513,2474582.547184989,356.0,Unit2,Default series,2
617112.329303884,2474635.202552163,371.0,Unit2,Default series,2
617269.0909123657,2474661.133960376,363.0,Unit2,Default series,2
617360.9780467399,2474720.7357474174,368.0,Unit2,Default series,2
617504.1541187476,2474826.0688881883,376.0,Unit2,Default series,2
617572.7445980392,2474845.79955963,366.0,Unit2,Default series,2
617701.747931488,2474929.263645516,376.0,Unit2,Default series,2
617683.0562507387,2474989.2295795325,401.0,Unit2,Default series,2
617667.0303075635,2475084.3563480927,438.0,Unit2,Default series,2
617690.9221368062,2475141.1705513997,473.0,Unit2,Default series,2
617719.0706176664,2475165.1830016715,468.0,Unit2,Default series,2
617984.3345303724,2475179.9729177034,404.0,Unit2,Default series,2
618110.3852963282,2475102.802083843,369.0,Unit2,Default series,2
618138.1974606091,2475119.0436871443,363.0,Unit2,Default series,2
618126.0274830069,2475197.449618059,396.0,Unit2,Default series,2
618119.7643556179,2475290.9737671386,437.0,Unit2,Default series,2
618154.4536198274,2475344.3298800928,451.0,Unit2,Default series,2
618235.5930981615,2475327.113640267,420.0,Unit2,Default series,2
618265.8559252202,2475359.484284341,421.0,Unit2,Default series,2
618321.773697537,2475437.4908199036,438.0,Unit2,Default series,2
618329.1604945172,2475476.5882322327,451.0,Unit2,Default series,2
618368.7265452263,2475545.5213645496,480.0,Unit2,Default series,2
618373.440067979,2475598.3884082255,489.0,Unit2,Default series,2
618458.612460297,2475719.6701983972,522.0,Unit2,Default series,2
618524.3342975416,2475747.107332281,499.0,Unit2,Default series,2
618582.7646359492,2475719.965353287,492.0,Unit2,Default series,2
618627.6867463745,2475776.385942033,485.0,Unit2,Default series,2
618694.7094273012,2475788.936454691,469.0,Unit2,Default series,2
618753.3551071096,2475725.982124804,436.0,Unit2,Default series,2
618817.0912688806,2475761.448387415,444.0,Unit2,Default series,2
618847.5676744507,2475816.3409975017,448.0,Unit2,Default series,2
618891.2493137838,2475857.8582306053,443.0,Unit2,Default series,2
618923.592432033,2475909.3640375263,460.0,Unit2,Default series,2
618971.0970291027,2475979.391882752,447.0,Unit2,Default series,2
618965.6031679705,2476061.135718323,475.0,Unit2,Default series,2
618912.2166887928,2476102.6749388436,490.0,Unit2,Default series,2
618908.4097297633,2476158.736473912,518.0,Unit2,Default series,2
618935.0412289072,2476200.3238163623,529.0,Unit2,Default series,2
618922.3989953648,2476246.8564368044,541.0,Unit2,Default series,2
618973.5585720338,2476271.9359438573,526.0,Unit2,Default series,2
618977.5077046253,2476332.9974348755,524.0,Unit2,Default series,2
618963.1052124194,2476379.0430003568,532.0,Unit2,Default series,2
618966.8902411759,2476415.068598131,539.0,Unit2,Default series,2
618962.1516482537,2476495.298231255,532.0,Unit2,Default series,2
618884.4910179697,2476622.462968431,512.0,Unit2,Default series,2
618892.2764427955,2476671.1602112763,548.0,Unit2,Default series,2
618856.7756873132,2476724.9463103437,583.0,Unit2,Default series,2
618796.8056050958,2476751.374860342,575.0,Unit2,Default series,2
618722.705603175,2476814.4099711166,580.0,Unit2,Default series,2
618612.9726540841,2476913.3864164953,566.0,Unit2,Default series,2
618625.8806439985,2476958.6001064065,586.0,Unit2,Default series,2
618544.0016392524,2476983.054962359,580.0,Unit2,Default series,2
618444.6467041343,2476944.92147867,568.0,Unit2,Default series,2
618302.3455723351,2476933.1129516247,557.0,Unit2,Default series,2
618319.6686071286,2477032.0375463394,525.0,Unit2,Default series,2
618405.4970946391,2477122.135633678,487.0,Unit2,Default series,2
618457.387926034,2477272.115963993,446.0,Unit2,Default series,2
618483.9029914555,2477375.999700876,425.0,Unit2,Default series,2
618482.0064420467,2477385.365437853,425.0,Unit2,Default series,2
618486.9867078942,2477500.97540346,417.0,Unit2,Default series,2
618526.9576355589,2477613.671538686,398.0,Unit2,Default series,2
618538.408838619,2477671.7320548897,396.0,Unit2,Default series,2
618578.3205971431,2477692.151795844,396.0,Unit2,Default series,2
618571.8215653494,2477698.055741731,395.0,Unit2,Default series,2
618533.7877653621,2477752.9045636104,398.0,Unit2,Default series,2
618502.83215901,2477801.6413264773,399.0,Unit2,Default series,2
618456.447517826,2477893.131825052,394.0,Unit2,Default series,2
618474.2835664938,2478014.2892077505,397.0,Unit2,Default series,2
618455.684796504,2478089.2092944416,392.0,Unit2,Default series,2
618454.3993389428,2478172.9250585847,388.0,Unit2,Default series,2
618426.0851828422,2478281.9954555966,385.0,Unit2,Default series,2
618343.347904092,2478403.345728954,379.0,Unit2,Default series,2
618246.3468906799,2478388.5452672862,426.0,Unit2,Default series,2
618102.8894251413,2478273.396881742,523.0,Unit2,Default series,2
618054.8078240622,2478222.0985908625,550.0,Unit2,Default series,2
617998.1162707505,2478132.186192197,589.0,Unit2,Default series,2
617991.6320437759,2478045.942316244,588.0,Unit2,Default series,2
617992.3528639978,2478040.43899232,588.0,Unit2,Default series,2
617977.7679771424,2477995.4656506893,594.0,Unit2,Default series,2
617917.90187914,2477979.1030955133,601.0,Unit2,Default series,2
617886.6962161581,2478061.377403278,577.0,Unit2,Default series,2
617844.8523739026,2478162.167445424,570.0,Unit2,Default series,2
617779.1515335034,2478161.554815746,626.0,Unit2,Default series,2
617729.3997158277,2478263.7233024603,615.0,Unit2,Default series,2
617656.4052474129,2478278.508174832,613.0,Unit2,Default series,2
617647.0905979967,2478133.2985549704,623.0,Unit2,Default series,2
617602.3578987007,2478041.4288232513,614.0,Unit2,Default series,2
617518.9758222153,2477984.9986544163,610.0,Unit2,Default series,2
617363.5701041854,2477869.874577986,627.0,Unit2,Default series,2
617210.1723246012,2477907.513400989,675.0,Unit2,Default series,2
617114.9446500744,2477821.15839572,694.0,Unit2,Default series,2
617070.1463423462,2477757.3324705455,690.0,Unit2,Default series,2
616980.5600200972,2477644.8883940466,665.0,Unit2,Default series,2
616901.5267158408,2477606.471542888,627.0,Unit2,Default series,2
616838.6625379262,2477553.245609035,627.0,Unit2,Default series,2
616834.9007483406,2477549.500550239,623.0,Unit2,Default series,2
616829.5161796119,2477545.51704954,623.0,Unit2,Default series,2
616774.4878679353,2477504.0757731576,635.0,Unit2,Default series,2
616715.7471574245,2477566.7484595007,650.0,Unit2,Default series,2
616645.3083481675,2477453.718177378,664.0,Unit2,Default series,2
616585.8820818961,2477351.145929672,691.0,Unit2,Default series,2
616504.2631518407,2477157.059551919,721.0,Unit2,Default series,2
616491.1359851375,2477006.2652323297,649.0,Unit2,Default series,2
616495.1810256509,2476955.3928448604,628.0,Unit2,Default series,2
616487.9177456641,2476908.175416881,614.0,Unit2,Default series,2
616485.0685521532,2476876.200662203,602.0,Unit2,Default series,2
616500.5943722032,2476834.6657770257,582.0,Unit2,Default series,2
616483.9138014482,2476830.673225865,582.0,Unit2,Default series,2
616463.4430312822,2476802.4840628826,578.0,Unit2,Default series,2
616463.2612661422,2476778.302880262,565.0,Unit2,Default series,2
616479.9716981183,2476749.887984268,551.0,Unit2,Default series,2
616483.0901016816,2476729.3175520967,551.0,Unit2,Default series,2
616468.7342950576,2476725.373336802,551.0,Unit2,Default series,2
616467.9834255248,2476707.7337562735,548.0,Unit2,Default series,2
616451.1781797125,2476715.9725501053,546.0,Unit2,Default series,2
616447.1330771674,2476671.1761385174,537.0,Unit2,Default series,2
616457.8223921165,2476641.422240643,532.0,Unit2,Default series,2
616442.9409388604,2476616.5372182475,522.0,Unit2,Default series,2
616426.2511801339,2476578.727624032,524.0,Unit2,Default series,2
616419.8379694303,2476546.9493422755,521.0,Unit2,Default series,2
616409.8491071977,2476515.8103284542,510.0,Unit2,Default series,2
616411.0045392432,2476482.6639693608,510.0,Unit2,Default series,2
616398.4393038303,2476413.8732688543,488.0,Unit2,Default series,2
616381.2905310314,2476381.4234413384,483.0,Unit2,Default series,2
616343.1514751553,2476398.4908080804,488.0,Unit2,Default series,2
616293.9390180081,2476416.220164316,527.0,Unit2,Default series,2
616237.421528377,2476422.0706137014,538.0,Unit2,Default series,2
616211.6189863428,2476394.361207519,550.0,Unit2,Default series,2
616193.0276688543,2476354.0107519287,552.0,Unit2,Default series,2
